[00:00] 說話者: 你們現在一周開兩天的情況下,大概外帶的人流有多少?一天大概有幾個?
[00:07] 說話者: 不知道欸。
[00:07] 說話者: 初期大概20個吧。
[00:09] 說話者: 一天,一天20嗎?
[00:11] 說話者: 初期吧。我因為我們不會初期也不會打廣告吧。
[00:15] 說話者: 不會,我覺得我們。
[00:15] 說話者: 因為我覺得初期只是先磨磨那個流程,對,弄順,然後二方面是要找那個市場的,就是來客量比較大的時間大概在什麼時間,然後去決定營業時間。然後還有菜單內容也需要磨一段時間。
[00:32] 說話者: 沒錯。
[00:32] 說話者: 對啊,所以我覺得那個初期我們沒有沒有報什麼太大的期望。
[00:37] 說話者: 好。
[00:38] 說話者: 會這麼反而會慢慢來可能比較好。
[00:40] 說話者: 好,會這麼問的原因是會你有套餐的問題。
[00:45] 說話者: 不是,線上點餐,它是要先預抓一個單量去購買的。
[00:49] 說話者: 哦。
[00:50] 說話者: 對,但如果先以你一個禮拜只營業兩天,一天20單的話來說,一個月就抓150左右,這是最低量哦。
[00:59] 說話者: 這是。
[01:00] 說話者: 這是。
[01:00] 說話者: 對對對對對。
[01:02] 說話者: 然後我們就可以。
[01:02] 說話者: 也有可能會超過啊,因為我們如果在什麼什麼地方的那個社團,我們回去可能有些老客會。
[01:09] 說話者: 對對對,可能會有一些老客。
[01:11] 說話者: 我覺得會。
[01:12] 說話者: 等一下哦。
[01:13] 說話者: 等一下,我覺得會。
[01:14] 說話者: 那那你這個抓的單量,比如說我們抓的少了,然後實際比較多,那會有。
[01:20] 說話者: 可以再加購。
[01:21] 說話者: 再加購。
[01:22] 說話者: 就加購。
[01:22] 說話者: 所以它就是個低消的概念。
[01:24] 說話者: 對。
[01:24] 說話者: 哦。
[01:25] 說話者: 對。
[01:26] 說話者: 之後本來低消是一個月隨便說1000塊。
[01:30] 說話者: 150單。
[01:31] 說話者: 對。
[01:32] 說話者: 實際上我們超過了,可能。
[01:33] 說話者: 然後再往上加買。
[01:34] 說話者: 但只是就是這個就是,比如說我一次買多一點可能單價就低。
[01:38] 說話者: 對。
[01:39] 說話者: 這個概念。
[01:39] 說話者: 正確。
[01:40] 說話者: 欸我,也給你們看一下,我們家就收三大費用,第一個費用就是軟體的月租費。
[01:47] 說話者: OK。
[01:47] 說話者: 這兩個,這三個差異就是再於iPad的數量,一般來說電型都會以一台iPad為主。
[01:52] 說話者: 對。
[01:52] 說話者: 那我們最小簽約是六個月,所以是1950乘以6,會收一次性的賬號開通費990,所以就是11200。然後裡面涵蓋就是不限量會員數量,如果你要做擴展也可以,那也可以做支付整合,就是如果你想要線上的時候可以讓它直接LINE Pay。
[02:10] 說話者: 全支付或者是刷卡都可以,但幫我記得這三樣支付方式,他們都會跟你抽手續費,串接是不用錢。
[02:16] 說話者: 明白。
